Cpd_Id	Name	InChIKey	Smiles	DataSet	CpdClass
CHEMBL1084738	CHEMBL1084738	DEEQMQGTBCCINJ-GOSISDBHSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(C(F)(F)F)cc2)c2ccccc12	SmoAnta	SmoAnta
CHEMBL4632769	CHEMBL4632769	BEZRNHWRVKFZJX-UHFFFAOYSA-N	Cc1cc(C)c(-c2ncc[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta
CHEMBL4637222	CHEMBL4637222	SMQVBAGSZVHCJP-UHFFFAOYSA-N	Cc1cc(C)c(-c2cn(C)cn2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta
CHEMBL2160078	CHEMBL2160078	KYWZXFGBEZZQSA-UHFFFAOYSA-N	Cc1ccc(NC(=O)c2ccc(N3CCOCC3)cc2)cc1-c1ncc(-c2ccccc2)[nH]1	SmoAnta	SmoAnta
CHEMBL2160068	CHEMBL2160068	RJYGMRSLXRNCGZ-KDURUIRLSA-N	C[C@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)nccc3n2)C[C@@H](C)O1	SmoAnta	SmoAnta
CHEMBL1083915	CHEMBL1083915	QEYCCERKPBVVNO-HXUWFJFHSA-N	Cc1ccc(-c2nnc(N3CCN(C(=O)c4ccccc4)C[C@H]3C)c3ccccc23)cc1	SmoAnta	SmoAnta
CHEMBL2160071	CHEMBL2160071	ISCMIYUTBPBNHO-BGYRXZFFSA-N	C[C@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)ccnc3c2)C[C@@H](C)O1	SmoAnta	SmoAnta
CHEMBL2160079	CHEMBL2160079	UAPTZRKLJGVDTE-UHFFFAOYSA-N	COc1cc(OC)cc(C(=O)Nc2ccc(C)c(-c3ncc(-c4ccccc4)[nH]3)c2)c1	SmoAnta	SmoAnta
CHEMBL1209455	CHEMBL1209455	ASPCZWIUJMXPKZ-QGZVFWFLSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(C(F)(F)F)cc2)c2ccncc12	SmoAnta	SmoAnta
CHEMBL1086467	CHEMBL1086467	CHNHCRBXHMOZTQ-GOSISDBHSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(Cl)cc2)c2ccccc12	SmoAnta	SmoAnta
CHEMBL4288592	CHEMBL4288592	FSQIBYKXAXWJRM-UHFFFAOYSA-N	CN(C(=O)c1ccc(Oc2ccccc2)cc1C(F)(F)F)C1CCN(c2nnc(-c3ccnn3C)c3ccccc23)CC1	SmoAnta	SmoAnta
CHEMBL497266	CHEMBL497266	WLZLUGVHAHGDCQ-UHFFFAOYSA-N	CC(C)(N)c1ccc(N2CCN(c3nnc(Cc4ccccc4)c4ccccc34)CC2)nc1	SmoAnta	SmoAnta
CHEMBL538867	CHEMBL538867	HZLFFNCLTRVYJG-WWGOJCOQSA-N	CC1=C2C[C@H]3[C@@H](CC[C@@H]4C[C@H](NS(C)(=O)=O)CC[C@]34C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C	SmoAnta	SmoAnta
CHEMBL2160067	CHEMBL2160067	BSQHKYLMKDAHEX-GOSISDBHSA-N	C[C@@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)nccc3n2)CCO1	SmoAnta	SmoAnta
CHEMBL2160074	CHEMBL2160074	PCWHFHNXRARXTJ-LJQANCHMSA-N	C[C@@H]1CN(c2ccc3c(Nc4ccc(Cl)c(-c5ncc(-c6ccccc6)[nH]5)c4)nccc3c2)CCO1	SmoAnta	SmoAnta
CHEMBL1084835	CHEMBL1084835	YBTKSWFANAPRIN-LJQANCHMSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccccc2)c2ccccc12	SmoAnta	SmoAnta
CHEMBL1084730	CHEMBL1084730	CBJPPBRKQOIGLI-HXUWFJFHSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(C3CC3)cc2)c2ccccc12	SmoAnta	SmoAnta
CHEMBL2059865	CHEMBL2059865	KMSKKYBHDQYHMC-UHFFFAOYSA-N	Cc1ccc(-c2ncc[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta
CHEMBL2059863	CHEMBL2059863	BQZARCIQCQXWNH-UHFFFAOYSA-N	Cc1ccc(-c2ncc(C(F)(F)F)[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta
CHEMBL2142592	CHEMBL2142592	SZBGQDXLNMELTB-UHFFFAOYSA-N	CN(C(=O)c1ccc(F)cc1C(F)(F)F)C1CCN(c2nnc(-c3ccnn3C)c3ccccc23)CC1	SmoAnta	SmoAnta
CHEMBL2059864	CHEMBL2059864	GMVNSGUKXHWVSS-UHFFFAOYSA-N	Cc1cnc(-c2ccc(C)c(NC(=O)c3ccc(OCc4ccccn4)cc3)c2)[nH]1	SmoAnta	SmoAnta
