Cpd_Id	Name	InChIKey	Smiles	DataSet	CpdClass	ECFC4	ECFP6
CHEMBL1084737	CHEMBL1084737	ZLWZFEJOMGNVHJ-HXUWFJFHSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(N(C)C)cc2)c2ccccc12	SmoAnta	SmoAnta	0.133	0.086
CHEMBL1084837	CHEMBL1084837	SVXZBNFZXBKVGT-UHFFFAOYSA-N	O=C(c1ccccc1)N1CCN(c2nnc(-c3ccc(Cl)cc3)c3ccccc23)CC1	SmoAnta	SmoAnta	0.125	0.084
CHEMBL1086045	CHEMBL1086045	YNEHHYSBEUXFNE-IBGZPJMESA-N	C[C@H]1CN(c2nnc(-c3ccccc3)c3ccccc23)CCN1C(=O)c1ccccc1	SmoAnta	SmoAnta	0.118	0.084
CHEMBL1086048	CHEMBL1086048	YBTKSWFANAPRIN-IBGZPJMESA-N	C[C@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccccc2)c2ccccc12	SmoAnta	SmoAnta	0.118	0.084
CHEMBL471672	CHEMBL471672	SRVDVWZPQCJMEN-VWLOTQADSA-N	Cc1ccc(CN[C@H]2Cc3ccc(NC(=O)c4cccc(C)c4-c4ccc(C(F)(F)F)cc4)cc3C2)o1	SmoAnta	SmoAnta	0.155	0.087
CHEMBL2059862	CHEMBL2059862	ICEFWVJUDOWXTD-UHFFFAOYSA-N	Cc1ccc(-c2ncc(C)n2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta	0.134	0.102
CHEMBL1824915	CHEMBL1824915	YWCQFUMHTWJNBJ-UHFFFAOYSA-N	O=C(Nc1ccc(-c2cccc(-c3ccccc3)c2)cc1)c1ccccc1Cl	SmoAnta	SmoAnta	0.11	0.076
CHEMBL1083285	CHEMBL1083285	RPTGIXNGRCNLKP-SFHVURJKSA-N	C[C@H]1CN(c2nnc(-c3ccc(Cl)cc3)c3ccccc23)CCN1C(=O)c1ccccc1	SmoAnta	SmoAnta	0.138	0.096
CHEMBL2059867	CHEMBL2059867	VHCKBVYAKAYQCA-UHFFFAOYSA-N	Cc1nc(-c2ccc(C)c(NC(=O)c3ccc(OCc4ccccn4)cc3)c2)c[nH]1	SmoAnta	SmoAnta	0.128	0.086
CHEMBL473417	CHEMBL473417	BPQMGSKTAYIVFO-UHFFFAOYSA-N	CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1	SmoAnta	SmoAnta	0.147	0.11
CHEMBL4441529	CHEMBL4441529	FUGSGMMXUVQDOY-NQIIRXRSSA-N	Cc1ccc(NCc2ccnn2-c2nnc(N3CCC(C(=O)N[C@H]4CCCC[C@H]4C)CC3)s2)nc1	SmoAnta	SmoAnta	0.137	0.159
CHEMBL4441310	CHEMBL4441310	FUGSGMMXUVQDOY-UHFFFAOYSA-N	Cc1ccc(NCc2ccnn2-c2nnc(N3CCC(C(=O)NC4CCCCC4C)CC3)s2)nc1	SmoAnta	SmoAnta	0.137	0.159
CHEMBL1824916	CHEMBL1824916	RMSFNUADGQRBNN-UHFFFAOYSA-N	O=C(Nc1ccc(-c2cc(-c3ccccc3)ccn2)cc1)c1ccccc1Cl	SmoAnta	SmoAnta	0.11	0.07
CHEMBL1084731	CHEMBL1084731	WYYKEIXTWACNOH-OAQYLSRUSA-N	CC(C)c1ccc(-c2nnc(N3CCN(C(=O)c4ccccc4)C[C@H]3C)c3ccccc23)cc1	SmoAnta	SmoAnta	0.133	0.086
CHEMBL473896	CHEMBL473896	CBSYYIOBMXSLKK-MHZLTWQESA-N	Cc1cccc(C(=O)Nc2ccc3c(c2)C[C@@H](NCc2ccccc2)C3)c1-c1ccc(C(F)(F)F)cc1	SmoAnta	SmoAnta	0.134	0.081
CHEMBL1209314	CHEMBL1209314	QOWBMSKVQFFCNY-HXUWFJFHSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-n2ccc3ccccc32)c2ccccc12	SmoAnta	SmoAnta	0.118	0.094
CHEMBL4567678	CHEMBL4567678	FUGSGMMXUVQDOY-GHTZIAJQSA-N	Cc1ccc(NCc2ccnn2-c2nnc(N3CCC(C(=O)N[C@@H]4CCCC[C@@H]4C)CC3)s2)nc1	SmoAnta	SmoAnta	0.137	0.159
CHEMBL1209251	CHEMBL1209251	YOWPYZSCODTISF-GOSISDBHSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-n2cccc2)c2ccccc12	SmoAnta	SmoAnta	0.113	0.085
CHEMBL474503	CHEMBL474503	JPOBQBQZOFXPBG-DEOSSOPVSA-N	Cc1cccc(C(=O)Nc2ccc3c(c2)C[C@@H](NCc2cccs2)C3)c1-c1ccc(C(F)(F)F)cc1	SmoAnta	SmoAnta	0.136	0.087
CHEMBL4472296	CHEMBL4472296	IOWOXOWWWSDVKI-YWEHKCAJSA-N	C[C@]1(c2ccc(Cl)cc2Cl)OC[C@@H](COc2ccc(N3CCN(c4ccc(NC(=O)NN)cc4)CC3)cc2)O1	SmoAnta	SmoAnta	0.155	0.116
CHEMBL1813111	CHEMBL1813111	CSFRZGLSUQFFQY-HKBOAZHASA-N	O=C(Nc1ccnn1-c1cccc(F)c1)N1CCN2C(=O)N([C@H]3C[C@@H]3c3ccccc3)C(=O)[C@@H]2C1	SmoAnta	SmoAnta	0.131	0.101
CHEMBL2059871	CHEMBL2059871	GTYGXABMOCTPEJ-UHFFFAOYSA-N	Cc1ccc(-c2cc(C(F)(F)F)n[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta	0.123	0.083
CHEMBL2059868	CHEMBL2059868	WEBMPRYNVSZEAK-UHFFFAOYSA-N	Cc1ccc(-c2[nH]cnc2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta	0.128	0.101
CHEMBL1083104	CHEMBL1083104	NZDDSVZRFYCJOD-UHFFFAOYSA-N	O=C(c1nccs1)N1CCN(c2nnc(-c3ccccc3)c3ccccc23)CC1	SmoAnta	SmoAnta	0.108	0.075
CHEMBL3965352	CHEMBL3965352	JMXYJARAWTZWPL-BLIXFSHQSA-N	Cc1ccc2c(n1)[C@H]([C@@H](C)C(=O)Nc1ccc(Cl)c(-c3nc4ccccc4n3C)c1)CC[C@H]2C	SmoAnta	SmoAnta	0.186	0.113
CHEMBL519219	CHEMBL519219	VTOXWJFHHUSEIN-UHFFFAOYSA-N	OC1(c2ccc(N3CCN(c4nnc(Cc5ccccc5)c5ccccc45)CC3)nc2)CC1	SmoAnta	SmoAnta	0.12	0.09
CHEMBL474893	CHEMBL474893	BDOBNHGYFGVFDD-QHCPKHFHSA-N	Cc1cccc(C(=O)Nc2ccc3c(c2)C[C@@H](NCc2nccs2)C3)c1-c1ccc(C(F)(F)F)cc1	SmoAnta	SmoAnta	0.136	0.092
CHEMBL1084733	CHEMBL1084733	VRSCFUXNCAWXED-OAQYLSRUSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(C(C)(C)C)cc2)c2ccccc12	SmoAnta	SmoAnta	0.139	0.087
CHEMBL1083739	CHEMBL1083739	RLKMYAFETBKMKT-UHFFFAOYSA-N	O=C(c1ccccc1)N1CCN(c2nnc(-c3ccc(F)cc3)c3ccccc23)CC1	SmoAnta	SmoAnta	0.111	0.068
CHEMBL1083605	CHEMBL1083605	PVYKZONRWRBEFD-SFHVURJKSA-N	C[C@H]1CN(c2nnc(-c3ccc(F)cc3)c3ccccc23)CCN1C(=O)c1ccccc1	SmoAnta	SmoAnta	0.123	0.08
CHEMBL1813105	CHEMBL1813105	KTUAMYOQSDFRNT-PUHATCMVSA-N	O=C(Nc1cccnc1-c1ccccc1)N1CCN2C(=O)N([C@H]3C[C@@H]3c3ccccc3)C(=O)[C@@H]2C1	SmoAnta	SmoAnta	0.124	0.089
CHEMBL2059870	CHEMBL2059870	SBHODUNGGJKTHR-UHFFFAOYSA-N	Cc1ccc(-c2c(C)nn(C)c2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta	0.154	0.124
CHEMBL1209074	CHEMBL1209074	MKWOBJMHSUQNJB-SFHVURJKSA-N	C[C@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(F)cc2)c2ccccc12	SmoAnta	SmoAnta	0.123	0.081
CHEMBL1209381	CHEMBL1209381	NGWNSKUJGZMUDQ-GOSISDBHSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccccc2)c2cnccc12	SmoAnta	SmoAnta	0.118	0.08
CHEMBL2160076	CHEMBL2160076	LEZARDOZJPVBRW-UHFFFAOYSA-N	Clc1ccc(Nc2nccc3cc(N4CCCCC4)ccc23)cc1-c1ncc(-c2ccccc2)[nH]1	SmoAnta	SmoAnta	0.149	0.106
CHEMBL1083103	CHEMBL1083103	GNAMIGXXUZCPQC-UHFFFAOYSA-N	O=C(c1ccco1)N1CCN(c2nnc(-c3ccccc3)c3ccccc23)CC1	SmoAnta	SmoAnta	0.115	0.069
CHEMBL1086284	CHEMBL1086284	YNEHHYSBEUXFNE-LJQANCHMSA-N	C[C@@H]1CN(c2nnc(-c3ccccc3)c3ccccc23)CCN1C(=O)c1ccccc1	SmoAnta	SmoAnta	0.118	0.084
CHEMBL2031277	CHEMBL2031277	ACUYNCLZSUPUPX-UHFFFAOYSA-N	COc1cc(C(=O)NC(=O)Nc2ccc(C)c(NC(=O)c3ccc(-c4ccccc4)cc3)c2)cc(OC)c1OC	SmoAnta	SmoAnta	0.21	0.101
CHEMBL1824904	CHEMBL1824904	OIMWGRZLNRQIGU-UHFFFAOYSA-N	O=C(Nc1ccc(NC(=O)c2ccccc2Cl)cc1)c1ccccc1	SmoAnta	SmoAnta	0.103	0.053
CHEMBL495877	CHEMBL495877	YAHTVMUYWFSGED-UHFFFAOYSA-N	CN(C)Cc1ccc(N2CCN(c3nnc(Cc4ccccc4)c4ccccc34)CC2)nc1	SmoAnta	SmoAnta	0.114	0.066
CHEMBL514764	CHEMBL514764	HYQMTHNENKITBQ-DEOSSOPVSA-N	Cc1cccc(C(=O)Nc2ccc3c(c2)C[C@@H](NCc2ccco2)C3)c1-c1ccc(C(F)(F)F)cc1	SmoAnta	SmoAnta	0.143	0.094
CHEMBL2031288	CHEMBL2031288	PMXQIKHOHRARGZ-UHFFFAOYSA-N	COc1cc(C(=O)NC(=N)Nc2ccc(C)c(NC(=O)c3ccc(-c4ccc(F)cc4)cc3)c2)cc(OC)c1OC	SmoAnta	SmoAnta	0.207	0.1
CHEMBL1824905	CHEMBL1824905	PITHTZJGIBVHTN-UHFFFAOYSA-N	O=C(Nc1ccc(CC(O)c2ccccc2)cc1)c1ccccc1Cl	SmoAnta	SmoAnta	0.095	0.066
CHEMBL1813109	CHEMBL1813109	TWMLIINATAHGQX-HKBOAZHASA-N	O=C(Nc1ccnn1-c1ccccc1)N1CCN2C(=O)N([C@H]3C[C@@H]3c3ccccc3)C(=O)[C@@H]2C1	SmoAnta	SmoAnta	0.119	0.106
CHEMBL1083738	CHEMBL1083738	PLDIKELNSMXLQR-UHFFFAOYSA-N	COc1ccc(-c2nnc(N3CCN(C(=O)c4ccccc4)CC3)c3ccccc23)cc1	SmoAnta	SmoAnta	0.137	0.098
CHEMBL1082387	CHEMBL1082387	WZEDNZDFRJGPBX-UHFFFAOYSA-N	Cc1ccccc1-c1nnc(N2CCN(C(=O)c3ccccc3)CC2)c2ccccc12	SmoAnta	SmoAnta	0.132	0.101
CHEMBL2059861	CHEMBL2059861	YLQZACBCJBUTDN-UHFFFAOYSA-N	Cc1ccc(-c2nccn2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta	0.121	0.095
CHEMBL1209380	CHEMBL1209380	GQQQIHYKIJIXIP-GOSISDBHSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccccc2)c2cccnc12	SmoAnta	SmoAnta	0.118	0.08
CHEMBL520858	CHEMBL520858	WMJOBCUAFQWMLG-UHFFFAOYSA-N	CC(O)(CO)c1ccc(N2CCN(c3nnc(Cc4ccccc4)c4ccccc34)CC2)nc1	SmoAnta	SmoAnta	0.106	0.071
CHEMBL1084836	CHEMBL1084836	MXFIWOYHQSHCOX-UHFFFAOYSA-N	O=C(c1ccccc1)N1CCN(c2nnc(-c3ccc(Cl)c(Cl)c3)c3ccccc23)CC1	SmoAnta	SmoAnta	0.138	0.098
CHEMBL4517976	CHEMBL4517976	WEEZHTNAVCRTIJ-UHFFFAOYSA-N	CC1CCCCC1NC(=O)C1CCN(c2nnc(-n3nccc3CNc3ccccn3)s2)CC1	SmoAnta	SmoAnta	0.105	0.131
CHEMBL3818447	CHEMBL3818447	RNWIOHREDZTTIV-UHFFFAOYSA-N	Cn1c(-c2cc(N3CCc4sc(C(=O)N5CCOCC5)cc4C3)ccc2Cl)nc2ccccc21	SmoAnta	SmoAnta	0.168	0.118
CHEMBL3741651	CHEMBL3741651	MUAVGJDOVLBZDM-UHFFFAOYSA-N	O=C(NC(=O)c1ccc(OCc2ccccc2F)cc1)Nc1ccc(Cl)c(-c2nc3ccccc3[nH]2)c1	SmoAnta	SmoAnta	0.133	0.084
CHEMBL1082791	CHEMBL1082791	OEZQQFDHMPRYIY-UHFFFAOYSA-N	O=C(c1ccccc1)N1CCN(c2nnc(-c3ccccc3)c3ccccc23)CC1	SmoAnta	SmoAnta	0.106	0.071
CHEMBL2057336	CHEMBL2057336	UCIZAIFZGCLTCQ-UHFFFAOYSA-N	Cc1ccc(-c2ccc(N)nn2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta	0.119	0.092
CHEMBL1209132	CHEMBL1209132	SGSUSGPSOCIWNM-GOSISDBHSA-N	C[C@@H]1CN(C(=O)c2ccccc2)CCN1c1nnc(-c2ccc(C(N)=O)cc2)c2ccccc12	SmoAnta	SmoAnta	0.127	0.08
CHEMBL495608	CHEMBL495608	FEGUPQZONWIBEH-UHFFFAOYSA-N	N#Cc1ccc(Cc2nnc(N3CCN(c4ccc(C#N)cn4)CC3)c3ccccc23)cc1	SmoAnta	SmoAnta	0.107	0.051
CHEMBL2043436	CHEMBL2043436	XAJBFYACHVQOEW-CRAIPNDOSA-N	CN1CC[C@@H](NC(=O)Nc2ccc(Cl)cc2)C[C@@H]1c1nc2ccccc2[nH]1	SmoAnta	SmoAnta	0.128	0.109
CHEMBL1083740	CHEMBL1083740	KFQXLGDDSNDVJS-UHFFFAOYSA-N	COc1cccc(-c2nnc(N3CCN(C(=O)c4ccccc4)CC3)c3ccccc23)c1	SmoAnta	SmoAnta	0.144	0.104
CHEMBL1082396	CHEMBL1082396	OUHVCVFZMGZUSS-UHFFFAOYSA-N	O=C(c1ccccc1)N1CCN(c2nnc(-c3ccccc3Cl)c3ccccc23)CC1	SmoAnta	SmoAnta	0.132	0.092
CHEMBL1813096	CHEMBL1813096	TWDSYKIINURWKN-VJTSUQJLSA-N	O=C(Nc1ccccc1-c1ccccc1)N1CCN2C(=O)N([C@H]3C[C@@H]3c3ccccc3)C(=O)[C@@H]2C1	SmoAnta	SmoAnta	0.13	0.099
CHEMBL2059875	CHEMBL2059875	GWEVEYFNCPGBAA-UHFFFAOYSA-N	Cc1ccc(-c2ccccn2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1	SmoAnta	SmoAnta	0.113	0.098
